# ra	dec	mag	bv	bayer	flamsteed	constellation	pmra_mas	pmdec_mas
# Bright Star Catalogue V/50 (Hoffleit & Warren 1991), CDS Strasbourg. J2000.
# pmra_mas is the PROJECTED motion cos(dec).d(ra)/dt, as the catalogue states it.
137.7417	-58.9669	3.44	-0.19				-26.0	8.0
154.1725	23.4172	3.44	+0.31	ζ	36	Leo	18.0	-7.0
286.5621	-4.8825	3.44	-0.09	λ	16	Aql	-17.0	-90.0
17.1475	-10.1822	3.45	+1.16	η	31	Cet	218.0	-138.0
154.2742	42.9144	3.45	+0.03	λ	33	UMa	-164.0	-38.0
282.5200	33.3628	3.45	0.00	β	10	Lyr	3.0	-3.0
40.8250	3.2358	3.47	+0.09	γ	86	Cet	-142.0	-152.0
60.1700	12.4903	3.47	-0.12	λ	35	Tau	-6.0	-12.0
105.4296	-27.9347	3.47	+1.73	σ	22	CMa	-5.0	5.0
119.1946	-52.9822	3.47	-0.18	χ		Car	-29.0	21.0
228.8758	33.3147	3.47	+0.95	δ	49	Boo	86.0	-112.0
299.6892	19.4922	3.47	+1.57	γ	12	Sge	66.0	24.0
169.6196	33.0942	3.48	+1.40	ν	54	UMa	-26.0	28.0
258.6621	14.3903	3.48	+1.44	α¹	64	Her	-6.0	36.0
342.5008	24.6017	3.48	+0.93	μ	48	Peg	147.0	-42.0
342.1388	-51.3169	3.49	+0.08	ε		Gru	108.0	-71.0
26.0171	-15.9375	3.50	+0.72	τ	52	Cet	-1718.0	856.0
225.4867	40.3906	3.50	+0.97	β	42	Boo	-41.0	-28.0
276.7433	-45.9683	3.51	-0.17	α		Tel	-16.0	-54.0
284.4325	-21.1067	3.51	+1.18	ξ²	37	Sgr	33.0	-12.0
124.1288	9.1856	3.52	+1.48	β	17	Cnc	-44.0	-49.0
145.2875	9.8922	3.52	+0.49	ο	14	Leo	-142.0	-37.0
151.8333	16.7628	3.52	-0.03	η	30	Leo	-2.0	0.0
342.4200	66.2006	3.52	+1.05	ι	32	Cep	-65.0	-125.0
67.1542	19.1803	3.53	+1.01	ε	74	Tau	107.0	-38.0
110.0308	21.9822	3.53	+0.34	δ	55	Gem	-26.0	-12.0
237.4050	-3.4303	3.53	-0.04	μ	32	Ser	-86.0	-24.0
250.7242	38.9222	3.53	+0.92	η	44	Her	37.0	-83.0
332.5500	6.1978	3.53	+0.08	θ	26	Peg	276.0	27.0
55.8121	-9.7633	3.54	+0.92	δ	23	Eri	-92.0	745.0
83.7846	9.9342	3.54	-0.18	λ	39	Ori	0.0	-6.0
149.2158	-54.5678	3.54	-0.08	φ		Vel	-10.0	3.0
173.2504	-31.8578	3.54	+0.94	ξ		Hya	-206.0	-40.0
264.3967	-15.3986	3.54	+0.26	ξ	55	Ser	-42.0	-58.0
86.7387	-14.8219	3.55	+0.10	ζ	14	Lep	-16.0	-1.0
214.8508	-46.0578	3.55	-0.18	ι		Lup	-13.0	2.0
4.8571	-8.8239	3.56	+1.22	ι	8	Cet	-14.0	-36.0
34.1275	-51.5122	3.56	-0.12	φ		Eri	96.0	-27.0
64.4737	-33.7983	3.56	-0.12	υ⁴	41	Eri	67.0	-8.0
169.8354	-14.7786	3.56	+1.12	δ	12	Crt	-122.0	208.0
230.4517	-36.2614	3.56	+1.54	φ¹		Lup	-89.0	-84.0
302.1817	-66.1819	3.56	+0.76	δ		Pav	1207.0	-1131.0
24.4983	48.6283	3.57	+1.28		51	And	65.0	-113.0
