# id	type	ra	dec	mag	band	majax	minax	pa	name
# OpenNGC (Mattia Verga), CC-BY-SA-4.0. J2000. Axes in arcminutes, angles in degrees.
# mag is V where measured and B otherwise; `band` says which. See NOTICE.txt.
IC0259	G	42.42033	41.05511	15.38	B	0.69	0.53	130	
IC0260	G	42.75367	46.95478	15.12	B	1.53	0.75	170	
IC0262	G	42.93029	42.82828	14.69	B	2.10	1.74	36	
IC0263	G	42.41650	-0.06986	14.72	B	0.65	0.44	168	
IC0264	G	42.19842	-0.10919	16.88	V	0.50	0.37	28	
IC0265	G	43.68325	41.65533	15.49	B	0.71	0.63	60	
IC0266	G	43.77013	42.26233	15.65	B	0.74	0.31	136	
IC0267	G	43.45938	12.84922	13.09	V	1.86	0.69	170	
IC0268	G	43.86229	-14.10300	15.31	B	0.97	0.55	68	
IC0269	G	43.86037	-14.06681	15.34	B	1.19	0.35	126	
IC0270	G	43.93412	-14.20789	14.14	B	1.80	1.43	51	
IC0271	G	43.99771	-12.00786	14.70	B	1.06	0.61	131	
IC0272	G	44.02683	-14.18664	14.86	B	0.96	0.67	30	
IC0273	G	44.29492	2.77506	14.32	B	1.49	0.46	32	
IC0274	Other	45.02179	44.21317						
IC0275	GTrpl	45.23875	44.34833			1.00			
IC0275 NED01	G	45.23279	44.34631			0.32	0.23	16	
IC0275 NED02	G	45.23292	44.35036	14.44	B	1.38	1.20	25	
IC0275 NED03	G	45.24446	44.35017	16.56	B	0.30	0.30	0	
IC0276	G	44.67108	-15.70311	13.97	B	1.67	0.61	62	
IC0277	G	44.96083	2.77136	13.12	V	1.00	0.89	44	
IC0278	G	45.37683	37.76600	14.69	B	2.17	2.17	125	
IC0279	G	45.30087	16.20922	15.19	B	0.54	0.45	166	
IC0280	Other	45.76504	42.35931						
IC0283	G	45.96025	-0.20444	17.93	V	0.71	0.54	5	
IC0284	G	46.54129	42.37192	11.59	V	4.29	2.15	14	
IC0285	G	46.02592	-12.01544	15.02	B	1.45	0.36	117	
IC0286	Other	46.19675	-6.48453						
IC0287	G	46.24092	-12.07044	15.36	B	0.81	0.59	9	
IC0288	G	46.88713	42.38756	14.95	B	1.01	0.28	41	
IC0289	PN	47.58025	61.31678	13.20	V	0.58			
IC0290	G	47.42808	40.97422	15.43	B	1.24	0.32	129	
IC0291	G	46.86021	-12.58744	14.65	B	1.19	0.52	91	
IC0292	G	47.55383	40.76567	13.47	V	1.19	0.65	73	
IC0293	G	47.73400	41.13711	15.48	B	1.05	0.76	108	
IC0294	G	47.76296	40.62211	15.52	B	1.49	1.17	106	
IC0295	Other	47.75308	40.61525						
IC0296	Other	47.76987	40.62686						
IC0298	GPair	47.82875	1.31472			0.80			
IC0298A	G	47.82708	1.31503	16.12	B	0.54	0.34	35	
IC0298B	G	47.83137	1.31339	15.10	B	0.43	0.33	5	
IC0299	G	47.76062	-13.10958	15.79	B	0.87	0.68	30	
IC0300	G	48.56675	42.41533	16.06	B	0.65	0.60	115	
IC0301	G	48.69879	42.22264	14.95	B	1.26	1.11	177	
IC0302	G	48.21363	4.70703	12.89	V	1.84	1.20	22	
IC0303	G	48.17029	-11.68994	16.16	B	0.59	0.46	47	
IC0304	G	48.75571	37.88183	14.74	B	1.06	0.65	29	
IC0305	G	48.76583	37.86000	15.57	B	0.79	0.64	74	
IC0306	G	48.25088	-11.71569	15.50	B	0.71	0.58	79	
IC0307	G	48.43838	-0.24144	14.50	B	1.60	0.60	67	
IC0308	G	49.06596	41.18075	14.22	V	1.16	0.93	4	
IC0309	G	49.02621	40.80456	14.81	B	1.02	0.95	30	
IC0310	G	49.17908	41.32497	12.71	V	1.50	1.42	25	
IC0311	G	49.19471	40.00361	15.65	B	1.00	1.00	100	
IC0312	G	49.53587	41.75411	14.64	B	1.19	0.57	125	
